German,English
der,the
und,and
die,the
den,the
mit,with
zu,to
das,the
von,from
im,in the
ist,is
auf,on
für,for
sich,itself
Die,The
dem,dem
es,it
ein,a
eine,one
nicht,not
des,of
auch,also
an,at
am,at the
als,as
werden,become
aus,out of
Der,The
bei,at
dass,that
Das,The
hat,has
einem,a
sie,she
um,around
nach,after
er,he
wird,becomes
einer,one
noch,still
wie,How
sind,are
vor,before
einen,a
war,was
aber,but
oder,or
haben,have
über,above
zum,for the
so,so
wurde,became
nur,only
In,In
mehr,more
man,man
Sie,She
sein,be
gegen,against
sei,be
Es,It
zur,to
bis,until
wir,we
kann,can
durch,through
wieder,again
hatte,had
können,can
Jahr,Year
ich,I
gibt,gives
Im,In the
soll,should
Prozent,percent
unter,under
habe,have
sagte,said
Ein,A
bereits,already
zwei,two
beim,at the
dann,then
schon,already
Euro,Euro
Auch,Also
Und,And
vom,from the
wenn,if
seine,his
Menschen,People
immer,always
eines,one
Jahren,Years
Nach,After
Uhr,Clock
zwischen,between
drei,three
waren,were
nun,so
Polizei,police
seit,since
ihre,her
sehr,very
keine,no
wurden,became
Mit,With
rund,around
Er,He
ihr,her
Am,At the
uns,us
was,What
Ich,I
Für,For
Eine,One
Zeit,Time
etwa,approximately
viel,much
worden,gone
Wir,We
diese,this
muss,must
Deutschland,Germany
dieser,this
seiner,his
ab,away
alle,all
Bei,At
seien,be
sowie,as well as 
will,want
diesem,this
geht,goes
müssen,must
ersten,first
steht,stands
Ende,End
damit,with it
sollen,should
etwas,something
jetzt,now
hier,here
weiter,further
neue,new
Jahre,Years
gut,good
beiden,both
dabei,included
seinen,his
neuen,new
Aber,But
viele,many
Auf,On
".""",". """
Wie,How
selbst,himself
da,there
Doch,But
ins,into the
seinem,his
allem,all
ohne,without
wegen,because of
sagt,says
vergangenen,past
machen,make
Wenn,If
andere,other
kam,came
doch,but
laut,loud
alles,everything
könnte,could
sondern,rather
vier,four
So,So
ihm,him
ihren,your
Mann,Man
Stadt,City
anderen,others
gab,gave
sollte,should
Kinder,Children
ganz,quite
ihrer,of their
Diese,This
Ukraine,Ukraine
kommt,comes
sogar,even
sehen,see
weitere,more
werde,become
einmal,once
Als,As
Was,What
Wer,Who
kommen,come
konnte,could
Unternehmen,Pursue
ob,if
dazu,in addition
erst,first
nicht mehr,no longer
weil,because
Millionen,millions
dieses,this
ihrem,hers
allerdings,however
dafür,for that
kein,no
mal,just
Platz,Place
dort,there
einfach,simply
Vor,Before
gewesen,been
jedoch,however
nichts,nothing
vor allem,above all
erste,first
fast,nearly
heute,today
ihn,him
wo,where
Berlin,Berlin
Woche,Week
lassen,let
stehen,stand
Denn,Because
Land,country
Welt,World
große,size
hatten,had
zurück,back
davon,of that
liegt,lies
mich,me
wollen,want
Dienstag,Tuesday
Spiel,Game
deutlich,clearly
Team,team
einige,some
fünf,five
Dabei,Included
Geld,Money
Mittwoch,Wednesday
hätten,have
Frau,Woman
also,so
denen,whom
diesen,this
musste,had to
Da,There
Donnerstag,Thursday
Oktober,October
möglich,possible
sieht,sees
Frauen,Women
anderem,other
gerade,straight
schwer,difficult
Leben,Life
Montag,Monday
Wochen,Weeks
bleiben,remain
geben,give
gehen,go
ging,went
großen,huge
weniger,fewer
würden,would
Fall,case
Straße,Street
lange,long
letzten,last
macht,might
Teil,Part
derzeit,currently
Mal,Just
darauf,on it
denn,because
später,later
vielen,many
wäre,were
zeigt,shows
USA,USA
bekannt,known
bin,am
ja,Yes
zunächst,first
Man,Man
Sonntag,Sunday
allen,all
gar,even
sechs,six
zudem,in addition
Seit,Since
schnell,fast
Einsatz,Mission
Fans,Fans
Hier,Here
Mai,May
Ort,Location
Samstag,Saturday
Tag,Day
Tagen,Days
Von,From
unsere,our
zwar,that is
zweiten,second
Den,The
Jetzt,Now
besonders,particularly
bisher,until now
bleibt,remains
dies,this
eigenen,own
gute,good
heißt,is called
stark,strong
weiteren,further
wichtig,important
würde,would
zehn,ten
Angaben,Declarations
Juni,June
Laut,Loud
finden,find
mir,me
natürlich,naturally
Arbeit,Work
Frage,Ask
Freitag,Friday
Stunden,Hours
Tage,Days
Um,Around
Zudem,In addition
erklärt,explained
insgesamt,in total
April,April
FC,FC
Mannschaft,team
könne,can
lässt,leaves
sollten,should
Beim,At the
Beispiel,Example
November,November
Saison,season
Thema,Theme
Trainer,Trainer
Zukunft,Future
Zum,For the
deutschen,German
ebenfalls,also
während,while
Personen,persons
Zu,To